Country,GDP per capita (USD),Life satisfaction
Russia,26456.38794,5.8
Greece,27287.0834,5.4
Turkey,28384.98778,5.5
Latvia,29932.49391,5.9
Hungary,31007.76841,5.6
Portugal,32181.15454,5.4
Poland,32238.15726,6.1
Estonia,35638.42135,5.7
Spain,36215.44759,6.3
Slovenia,36547.73896,5.9
Lithuania,36732.03474,5.9
Israel,38341.30757,7.2
Italy,38992.14838,6
United Kingdom,41627.12927,6.8
France,42025.61737,6.5
New Zealand,42404.39374,7.3
Canada,45856.62563,7.4
Finland,47260.80046,7.6
Belgium,48210.03311,6.9
Australia,48697.83703,7.3
Sweden,50683.32351,7.3
Germany,50922.35802,7
Austria,51935.60386,7.1
Iceland,52279.72885,7.5
Netherlands,54209.56384,7.4
Denmark,55938.21281,7.6
United States,60235.72849,6.9
